date_plated,date_counted,location,dilution,replicate,colonies,cfu/ml,cfu/g,notes
2022-11-10,2022-11-14,NN,10-1,1,12,1200,120,
2022-11-10,2022-11-14,NN,10-1,2,12,1200,120,
2022-11-10,2022-11-14,NN,10-1,3,17,1700,170,
2022-11-10,2022-11-14,NN,10-2,1,1,1000,100,
2022-11-10,2022-11-14,NN,10-2,2,0,0,0,
2022-11-10,2022-11-14,NN,10-2,3,2,2000,200,
2022-11-10,2022-11-14,NN,10-3,1,0,0,0,
2022-11-10,2022-11-14,NN,10-3,2,0,0,0,
2022-11-10,2022-11-14,NN,10-3,3,0,0,0,
2022-11-10,2022-11-14,NN,10-4,1,0,0,0,
2022-11-10,2022-11-14,NN,10-4,2,0,0,0,
2022-11-10,2022-11-14,NN,10-4,3,0,0,0,
2022-11-10,2022-11-14,CP,10-1,1,25,2500,250,has the yellow one
2022-11-10,2022-11-14,CP,10-1,2,18,1800,180,
2022-11-10,2022-11-14,CP,10-1,3,25,2500,250,
2022-11-10,2022-11-14,CP,10-2,1,2,2000,200,
2022-11-10,2022-11-14,CP,10-2,2,3,3000,300,
2022-11-10,2022-11-14,CP,10-2,3,1,1000,100,
2022-11-10,2022-11-14,CP,10-3,1,0,0,0,
2022-11-10,2022-11-14,CP,10-3,2,0,0,0,
2022-11-10,2022-11-14,CP,10-3,3,0,0,0,
2022-11-10,2022-11-14,CP,10-4,1,0,0,0,
2022-11-10,2022-11-14,CP,10-4,2,0,0,0,
2022-11-10,2022-11-14,CP,10-4,3,0,0,0,
2022-11-10,2022-11-14,CM,10-1,1,25,2500,250,
2022-11-10,2022-11-14,CM,10-1,2,31,3100,310,
2022-11-10,2022-11-14,CM,10-1,3,34,3400,340,
2022-11-10,2022-11-14,CM,10-2,1,10,10000,1000,
2022-11-10,2022-11-14,CM,10-2,2,2,2000,200,
2022-11-10,2022-11-14,CM,10-2,3,5,5000,500,
2022-11-10,2022-11-14,CM,10-3,1,2,20000,2000,
2022-11-10,2022-11-14,CM,10-3,2,3,30000,3000,
2022-11-10,2022-11-14,CM,10-3,3,2,20000,2000,
2022-11-10,2022-11-14,CM,10-4,1,0,0,0,
2022-11-10,2022-11-14,CM,10-4,2,0,0,0,
2022-11-10,2022-11-14,CM,10-4,3,0,0,0,
2022-11-10,2022-11-14,PL,10-1,1,77,7700,770,
2022-11-10,2022-11-14,PL,10-1,2,53,5300,530,
2022-11-10,2022-11-14,PL,10-1,3,54,5400,540,
2022-11-10,2022-11-14,PL,10-2,1,6,6000,600,
2022-11-10,2022-11-14,PL,10-2,2,10,10000,1000,
2022-11-10,2022-11-14,PL,10-2,3,10,10000,1000,
2022-11-10,2022-11-14,PL,10-3,1,0,0,0,
2022-11-10,2022-11-14,PL,10-3,2,0,0,0,
2022-11-10,2022-11-14,PL,10-3,3,1,10000,1000,
2022-11-10,2022-11-14,PL,10-4,1,0,0,0,
2022-11-10,2022-11-14,PL,10-4,2,0,0,0,
2022-11-10,2022-11-14,PL,10-4,3,0,0,0,
2022-11-18,2022-11-20,CM,10-1,1,50,5000,500,
2022-11-18,2022-11-20,CM,10-1,2,51,5100,510,
2022-11-18,2022-11-20,CM,10-1,3,38,3800,380,
2022-11-18,2022-11-20,CM,10-2,1,6,6000,600,
2022-11-18,2022-11-20,CM,10-2,2,6,6000,600,
2022-11-18,2022-11-20,CM,10-2,3,7,7000,700,
2022-11-18,2022-11-20,NN,10-1,1,8,800,80,
2022-11-18,2022-11-20,NN,10-1,2,7,700,70,
2022-11-18,2022-11-20,NN,10-1,3,4,400,40,
2022-11-18,2022-11-20,NN,10-2,1,0,0,0,
2022-11-18,2022-11-20,NN,10-2,2,0,0,0,
2022-11-18,2022-11-20,NN,10-2,3,0,0,0,
2022-11-18,2022-11-20,CP,10-1,1,5,500,50,
2022-11-18,2022-11-20,CP,10-1,2,3,300,30,
2022-11-18,2022-11-20,CP,10-1,3,8,800,80,
2022-11-18,2022-11-20,CP,10-2,1,3,3000,300,
2022-11-18,2022-11-20,CP,10-2,2,4,4000,400,
2022-11-18,2022-11-20,CP,10-2,3,5,5000,500,
2022-11-18,2022-11-20,PL,10-1,1,2,200,20,
2022-11-18,2022-11-20,PL,10-1,2,12,1200,120,
2022-11-18,2022-11-20,PL,10-1,3,12,1200,120,
2022-11-18,2022-11-20,PL,10-2,1,2,2000,200,
