Site,plate,count,CFUsperml,Salinity
Point Lookout,pl.22.1,25,2.50E+02,10.8
Point Lookout,pl.22.2,21,2.10E+02,10.8
Point Lookout,pl.22.3,24,2.40E+02,10.8
Point Lookout,pl.22.4,20,2.00E+02,10.8
Point Lookout,pl.22.5,22,2.20E+02,10.8
Point Lookout,pl.22.6,17,1.70E+02,10.8
Point Lookout,pl.22.7,18,1.80E+02,10.8
Chapman,cm.22.3,2,2.00E+01,0.1
Chapman,cm.22.1,0,0.00E+00,0.1
Chapman,cm.22.5,1,1.00E+01,0.1
Chapman,cm.22.4,2,2.00E+01,0.1
Chapman,cm.22.8,0,0.00E+00,0.1
Chapman,cm.22.7,0,0.00E+00,0.1
Chapman,cm.22.9,4,4.00E+01,0.1
Chapman,cm.22.6,3,3.00E+01,0.1
Chapman,cm.22.10,5,5.00E+01,0.1
Chapman,cm.22.2,0,0.00E+00,0.1
Smallwood,sw.22.1,6,6.00E+01,0.1
Smallwood,sw.22.2,4,4.00E+01,0.1
Smallwood,sw.22.3,10,1.00E+02,0.1
Smallwood,sw.22.4,10,1.00E+02,0.1
Smallwood,sw.22.5,6,6.00E+01,0.1
Smallwood,sw.22.6,11,1.10E+02,0.1
Smallwood,sw.22.7,2,2.00E+01,0.1
Smallwood,sw.22.8,5,5.00E+01,0.1
Smallwood,sw.22.9,4,4.00E+01,0.1
Smallwood,sw.22.10,9,9.00E+01,0.1
Chapel Point,cp.22.1,18,1.80E+02,1.5
Chapel Point,cp.22.2,22,2.20E+02,1.5
Chapel Point,cp.22.3,23,2.30E+02,1.5
Chapel Point,cp.22.4,37,3.70E+02,1.5
Chapel Point,cp.22.5,46,4.60E+02,1.5
Chapel Point,cp.22.6,48,4.80E+02,1.5
Chapel Point,cp.22.7,44,4.40E+02,1.5
Chapel Point,cp.22.8,52,5.20E+02,1.5
Chapel Point,cp.22.9,37,3.70E+02,1.5
Chapel Point,cp.22.10,42,4.20E+02,1.5
Newtowne Neck,nn.22.1,16,1.60E+02,8
Newtowne Neck,nn.22.2,6,6.00E+01,8
Newtowne Neck,nn.22.3,6,6.00E+01,8
Newtowne Neck,nn.22.4,10,1.00E+02,8
Newtowne Neck,nn.22.5,15,1.50E+02,8
Newtowne Neck,nn.22.6,23,2.30E+02,8
Newtowne Neck,nn.22.7,34,3.40E+02,8
Newtowne Neck,nn.22.8,35,3.50E+02,8
Newtowne Neck,nn.22.9,14,1.40E+02,8
Newtowne Neck,nn.22.10,30,3.00E+02,8
